a_gap_T_1_K,Tout_final_degC,Q_last_day_W,Eta_Q_last_day,Rgap_factor_final
0,24.3729636209449,693.033880602633,0.832979961945505,1
0.01,24.4070188227511,691.225235767881,0.831687449837613,1.0410334030986
0.02,24.4407517158392,689.433797522427,0.830408350609942,1.08195708697703
0.04,24.5072752060547,685.901166153091,0.827889243366926,1.16346478810712
0.08,24.6367119747797,679.028007714667,0.82300008199125,1.32506378947456
