"delta_mm","Cal_vs_CFD_bias_C","Cal_vs_CFD_RMSE_C","Cal_vs_CFD_MAE_C","Cal_vs_CFD_MaxAbs_C","Raw_vs_CFD_bias_C","Raw_vs_CFD_RMSE_C","Raw_vs_CFD_MAE_C","Raw_vs_CFD_MaxAbs_C"
"0","0.0439251877706824","0.153774113364612","0.135602609868366","0.267651329573997","-0.362846183334706","2.4850174000828","2.22342450254027","4.1228656056133"
"1","0.0462340142340994","0.147428256972642","0.130077476325867","0.270296698315899","-0.314231490602618","2.15041612203263","1.92624493033103","3.481919546308"
"5","0.0488763132891908","0.154291262371653","0.136199087298434","0.308719272293398","-0.196291583672836","1.34375470835923","1.20451111980401","2.0869658496772"
