Gap_mm,Tout_final_degC,Q_last_day_W,Eta_Q_last_day
0,23.5539743014607,741.030029620309,0.831739107103834
0.5,23.7672013733499,728.426406873759,0.83196930495459
1,23.9747382196347,716.236231380035,0.832267391019034
2,24.3729636209449,693.033880602633,0.832979961945505
5,25.4398678968825,631.794602190757,0.835108344425103
