case_name,model_type,delta_mm,t_day,z_m,Tin_exp_C,Tmid_exp_C,Tmid_sim_C,Tmid_error_C,Tout_exp_C,Tout_sim_C,Tout_error_C
Sharan_May_cooling_corrected,resistance_gap,0,0,25,31.3,29.1,26.6166964576704,-2.48330354232957,26.8,26.6016571662833,-0.198342833716715
Sharan_May_cooling_corrected,resistance_gap,0,0.0416666666666667,25,33.7,29.2,32.3204358890791,3.12043588907911,26.8,31.6923394053296,4.89233940532955
Sharan_May_cooling_corrected,resistance_gap,0,0.0833333333333333,25,36.4,29.5,34.387136612586,4.88713661258598,27.2,33.5342345403633,6.33423454036334
Sharan_May_cooling_corrected,resistance_gap,0,0.125,25,37.8,29.5,35.8500597232992,6.35005972329924,27.2,34.8395669941777,7.6395669941777
Sharan_May_cooling_corrected,resistance_gap,0,0.166666666666667,25,40.8,29.7,37.9642360041607,8.26423600416072,27.2,36.7233639692916,9.52336396929156
Sharan_May_cooling_corrected,resistance_gap,0,0.208333333333333,25,40.4,29.7,37.7475961030012,8.04759610300122,27.2,36.5373926779436,9.33739267794357
Sharan_May_cooling_corrected,resistance_gap,0,0.25,25,39.8,29.8,37.3205212087854,7.52052120878543,27.2,36.1601945670543,8.96019456705426
Sharan_May_cooling_corrected,resistance_gap,0,0.291666666666667,25,39.6,30,37.1702424086732,7.17024240867318,27.2,36.0286336949346,8.8286336949346
Sharan_January_heating_corrected,resistance_gap,0,0,25,19.8,22.3,23.9905550219297,1.69055502192966,23.4,24.1963463406466,0.796346340646643
Sharan_January_heating_corrected,resistance_gap,0,0.0416666666666667,25,17.6,22.2,18.709059364401,-3.49094063559899,23.4,19.3221510018823,-4.07784899811768
Sharan_January_heating_corrected,resistance_gap,0,0.0833333333333333,25,13.3,22.1,15.8631613536103,-6.2368386463897,23.3,16.7878244150237,-6.51217558497632
Sharan_January_heating_corrected,resistance_gap,0,0.125,25,11.9,21.9,14.3060577564267,-7.5939422435733,23.3,15.397836923188,-7.90216307681201
Sharan_January_heating_corrected,resistance_gap,0,0.166666666666667,25,10.4,21.8,13.1958354907619,-8.60416450923809,23.3,14.4061567259459,-8.89384327405405
Sharan_January_heating_corrected,resistance_gap,0,0.208333333333333,25,9.6,21.7,12.4071080010605,-9.29289199893945,23.3,13.7007653982046,-9.59923460179539
Sharan_January_heating_corrected,resistance_gap,0,0.25,25,9.1,21.6,11.9855816411778,-9.61441835882223,23.2,13.3222353585942,-9.87776464140577
Sharan_January_heating_corrected,resistance_gap,0,0.291666666666667,25,8.7,21.5,11.6305752279558,-9.86942477204419,23.2,13.003243445062,-10.196756554938
Sharan_January_heating_corrected,resistance_gap,0,0.333333333333333,25,8.3,21.5,11.4863954155053,-10.0136045844947,23,12.8721137250159,-10.1278862749841
Sharan_January_heating_corrected,resistance_gap,0,0.375,25,8.7,21.4,11.6030145819021,-9.79698541809788,23,12.973296967604,-10.026703032396
Sharan_January_heating_corrected,resistance_gap,0,0.416666666666667,25,9.1,21.3,11.921755280059,-9.37824471994102,22.9,13.254565580111,-9.64543441988898
Sharan_January_heating_corrected,resistance_gap,0,0.458333333333333,25,9.6,21.2,12.3160424135048,-8.88395758649524,22.9,13.6035056167201,-9.29649438327987
Sharan_January_heating_corrected,resistance_gap,0,0.5,25,9.8,21.2,12.4592691675902,-8.74073083240983,22.8,13.7297621297451,-9.07023787025486
