"delta_mm","CFD_Tout_mean_C","CFD_Tout_min_C","CFD_Tout_max_C","MATLAB_raw_Tout_mean_C","MATLAB_raw_Tout_min_C","MATLAB_raw_Tout_max_C","Bias_MATLAB_minus_CFD_C","RMSE_C","MAE_C","MaxAbs_C"
"0","20.1024398031059","16.1969460819479","23.991539221086","19.7395936197712","18.7275966505151","20.7936904358144","-0.362846183334706","2.4850174000828","2.22342450254027","4.1228656056133"
"1","20.1122921232804","16.1370312470186","24.0733063050391","19.7980606326778","18.5055945593414","21.1231233275608","-0.314231490602618","2.15041612203263","1.92624493033103","3.481919546308"
"5","20.14582572383","15.9499400711194","24.3213441408561","19.9495341401572","17.5289509287155","22.3361998878422","-0.196291583672836","1.34375470835923","1.20451111980401","2.0869658496772"
