time_h,Tin_degC,Tout_degC,Tpipe_mid_degC,Tundist_pipe_degC,Q_W,q_l_W_m,R_fluid_wall_K_m_W,R_fluid_far_K_m_W
0,33.27,33.27,28.2100000000259,28.2100000000259,0,0,Inf,Inf
0.166666666666667,33.27,30.913338615594,29.0306440964372,28.2100000000259,3888.11421844834,82.725834435071,0.0370020469695277,0.0469220931318343
0.333333333333333,33.27,30.9711904156006,29.164406751267,28.2100000000259,3792.66800472559,80.6950639303317,0.0366340679658608,0.0484613930184204
0.5,33.27,31.0038806031212,29.2241294203703,28.2100000000259,3738.73442574658,79.5475409733316,0.0366172334876679,0.0493659546666713
0.666666666666667,33.27,31.0309510972599,29.2737938312242,28.2100000000259,3694.07244169677,78.5972859935483,0.0366002678214847,0.050135007828737
0.833333333333333,33.27,31.0562925709056,29.3203172247376,28.2100000000259,3652.26306481719,77.7077247833445,0.0365836095271252,0.0508719859762791
1,33.27,31.0803949455951,29.364559341851,28.2100000000259,3612.49800295945,76.8616596374351,0.0365674920916954,0.0515887568844582
1.16666666666667,33.27,31.1033750160598,29.4067309273815,28.2100000000259,3574.58456350386,76.054990712848,0.036551928474285,0.0522870027427696
1.33333333333333,33.27,31.1253057136867,29.4469662562979,28.2100000000259,3538.4024213312,75.2851579006639,0.0365369041820289,0.0529673174369772
1.5,33.27,31.1462512852293,29.4853840586714,28.2100000000259,3503.84557957731,74.5499059484533,0.03652240132705,0.0536301902963256
1.66666666666667,33.27,31.1662712886181,29.5220944450943,28.2100000000259,3470.81577718627,73.8471441954527,0.0365084016259192,0.0542761089538512
1.83333333333333,33.27,31.1854212744772,29.5572001154706,28.2100000000259,3439.22136451662,73.1749226492899,0.0364948868421377,0.0549055672592726
2,33.27,31.2037530999561,29.5907969342482,28.2100000000259,3408.97678556849,72.5314209695424,0.0364818389100774,0.055519063271118
2.16666666666667,33.27,31.2213151869645,29.6229744080075,28.2100000000259,3380.00215193842,71.9149394029452,0.0364692400111699,0.0561170964887315
2.33333333333333,33.27,31.2381527588549,29.6538161237257,28.2100000000259,3352.22285233081,71.3238904751236,0.0364570726355519,0.0567001652947134
2.5,33.27,31.254308060232,29.6834001558525,28.2100000000259,3325.56918990686,70.7567912746139,0.0364453196337736,0.0572687646951552
2.66666666666667,33.27,31.2698205614045,29.7117994449421,28.2100000000259,3299.97604497243,70.2122562760091,0.0364339642598014,0.0578233843492588
2.83333333333333,33.27,31.2847271485892,29.7390821498926,28.2100000000259,3275.38256117157,69.6889906632248,0.036422990206134,0.0583645068691611
3,33.27,31.2990623008684,29.7653119756453,28.2100000000259,3251.73185353534,69.1857841177733,0.0364123816317593,0.0588926063694283
3.16666666666667,33.27,31.3128582548287,29.7905484780642,28.2100000000259,3228.97073685349,68.7015050394359,0.036402123183686,0.0594081472457642
3.33333333333333,33.27,31.3261451577443,29.8148473475922,28.2100000000259,3207.04947294717,68.2350951690888,0.036392200012712,0.0599115831628263
3.5,33.27,31.3389512101058,29.838260673171,28.2100000000259,3185.92153551899,67.7855645855103,0.0363825977840874,0.0604033562317223
3.66666666666667,33.27,31.3513027982409,29.8608371878043,28.2100000000259,3165.54339135018,67.3519870500039,0.0363733026836663,0.0608838963585457
3.83333333333333,33.27,31.3632246177197,29.8826224970508,28.2100000000259,3145.87429670137,66.9334956744972,0.0363643014201096,0.0613536207462509
4,33.27,31.3747397881904,29.9036592916408,28.2100000000259,3126.87610785204,66.5292788904689,0.0363555812236657,0.0618129335332147
4.16666666666667,33.27,31.3858699602442,29.9239875453271,28.2100000000259,3108.51310479068,66.138576697674,0.0363471298419935,0.0622622255528673
4.33333333333333,33.27,31.3966354148674,29.9436446990036,28.2100000000259,3090.75182713517,65.7606771730887,0.0363389355334692,0.0627018741999083
4.5,33.27,31.4070551559984,29.962665832052,28.2100000000259,3073.56092142768,65.3949132218654,0.0363309870583751,0.0631322433897328
4.66666666666667,33.27,31.4171469966727,29.9810838218104,28.2100000000259,3056.91099900953,65.0406595533941,0.0363232736683198,0.06355368359875
4.83333333333333,33.27,31.4269276392039,29.9989294919929,28.2100000000259,3040.77450373588,64.6973298667208,0.0363157850942106,0.063966531974371
5,33.27,31.4364127498165,30.0162317508346,28.2100000000259,3025.12558884275,64.3643742306968,0.0363085115330639,0.0643711125044443
5.16666666666667,33.27,31.4456170281202,30.033017719679,28.2100000000259,3009.94000232622,64.0412766452388,0.0363014436339151,0.0647677362369157
5.33333333333333,33.27,31.4545542717838,30.0493128526759,28.2100000000259,2995.19498024015,63.7275527710671,0.0362945724830359,0.065156701541365
5.5,33.27,31.4632374367462,30.0651410482112,28.2100000000259,2980.86914735861,63.4227478161407,0.036287889588666,0.0655382944049827
