"delta_mm","cooling_mean_dT_C","cooling_max_dT_C","heating_mean_dT_C","heating_max_dT_C","n_cooling","n_heating"
"0","1.35692758846686","2.1452808968306","1.04650534765948","1.6256037414106","199","167"
"1","1.2996411740603","2.0703702124788","0.999834405844877","1.5493889179538","199","167"
"5","1.10545083680698","1.7902319816728","0.865531322045221","1.3303919203611","201","165"
