"delta_mm","CFD_Eabs_kWh","CFD_Dgap_percent","FLS_raw_Eabs_kWh","FLS_raw_Eabs_error_vs_CFD_percent","FLS_raw_Dgap_percent","FLS_raw_Dgap_error_point","FLS_cal_Eabs_kWh","FLS_cal_Eabs_error_vs_CFD_percent","FLS_cal_Dgap_percent","FLS_cal_Dgap_error_point"
"0","642.069093239485","0","1766.71834914115","175.160160758927","0","0","608.277510119456","-5.26292006200416","0","0"
"1","614.338609752627","4.31892514043103","1590.3159241854","158.866348124492","9.98475082581842","5.66582568538739","571.564800267913","-6.96257874821469","6.03551984756643","1.7165947071354"
"5","526.744538763379","17.9613932036891","1141.70954918538","116.748246097764","35.3768216795624","17.4154284758733","463.89317097588","-11.9320397578403","23.7365900829083","5.7751968792192"
