m_dot_kg_s,Tout_final_degC,Q_last_day_W,dT_last_day_K
0.04,21.7149714507481,435.214773102933,10.8154764687608
0.08,24.3729636209449,693.033880602633,8.61125597170269
0.12,26.2260642771491,858.583203567994,7.11218690828358
0.16,27.5654905371115,973.644887162264,6.04898662501406
