"delta_mm","CFD_Eabs_kWh","CFD_Dgap_percent","EqCOMSOL_Eabs_kWh","EqCOMSOL_Dgap_percent","CFD_vs_EqCOMSOL_Eabs_error_percent","MATLAB_raw_Eabs_kWh","MATLAB_raw_vs_CFD_error_percent","MATLAB_FLS_cal_Eabs_kWh","MATLAB_FLS_cal_vs_CFD_error_percent","MATLAB_FLS_cal_Dgap_percent"
"0","642.069093239485","0","613.868089609089","0","4.5939842952831","1766.71834914115","175.160160758927","608.277510119456","-5.26292006200416","0"
"1","614.338609752627","4.31892514043103","577.0513775682","5.99749566137798","6.46168324587704","1590.3159241854","158.866348124492","571.564800267913","-6.96257874821469","6.03551984756643"
"5","526.744538763379","17.9613932036891","465.432647411159","24.1803483045443","13.1730964068057","1141.70954918538","116.748246097764","463.89317097588","-11.9320397578403","23.7365900829083"
