case_name,quantity,RMSE_C,MAE_C,bias_C,max_abs_C
Sharan_January_heating_corrected,T25_CFD_minus_MinaeiG,6.3738496494894,6.08479399392925,-6.08479399392925,7.38244272577802
Sharan_January_heating_corrected,Tout_CFD_minus_MinaeiG,8.15869420850509,7.73934147449936,-7.73934147449936,9.50852274637314
Sharan_May_cooling_corrected,T25_CFD_minus_MinaeiG,5.80698429312765,5.36974874313807,5.36974874313807,7.52517964680672
Sharan_May_cooling_corrected,Tout_CFD_minus_MinaeiG,7.17198403821852,6.60096799857082,6.60096799857082,9.11965703833918
