L_pipe_m,Tout_final_degC,Q_last_day_W,Q_per_length_last_day_W_m
20,28.5307247224487,430.332076581322,21.5166038290661
40,24.3729636209449,693.033880602633,17.3258470150658
60,21.9216229988104,852.581912833613,14.2096985472269
80,20.4819528068119,949.015297950297,11.8626912243787
