k_soil2_W_mK,Tout_final_degC,Q_last_day_W,Eta_Q_last_day,Near_soil_rise_last_day_K
0.8,25.7170140351187,597.96594661322,0.749815288466032,4.8789350868171
1.2,24.8611088430355,658.373346107463,0.803725347957954,3.91212509719963
1.55,24.3729636209449,693.033880602633,0.832979961945505,3.36364862607615
2,23.9374412201841,723.986505833545,0.858122177748246,2.87072652709428
2.5,23.6005149931483,747.896922675673,0.876910737988219,2.48505303502386
