"delta_mm","COMSOL_Ecool_kWh","COMSOL_Eheat_kWh","COMSOL_Eabs_kWh","COMSOL_Dgap_percent","MATLAB_raw_Eabs_kWh","MATLAB_raw_vs_COMSOL_error_percent","MATLAB_raw_Dgap_percent","MATLAB_FLS_cal_Eabs_kWh","MATLAB_FLS_cal_vs_COMSOL_error_percent","MATLAB_FLS_cal_Dgap_percent","MATLAB_FLS_cal_Dgap_error_point","MATLAB_FLS_cal_Tout_RMSE_C"
"0","372.65428922706","241.213800382028","613.868089609089","0","1766.71834914115","187.800975331068","0","608.277510119456","-0.910713487842835","0","0","0.124985637430839"
"0.5","361.02326216908","234.096504112637","595.119766281716","3.05412899688464","1673.87216895211","181.266438083614","5.25529042216514","589.277222960877","-0.981742441079154","3.12362151197193","0.06949251508729","0.119114724028784"
"1","350.174395202862","226.876982365339","577.0513775682","5.99749566137798","1590.3159241854","175.593471570466","9.98475082581842","571.564800267913","-0.950795286791998","6.03551984756643","0.0380241861884487","0.111673069001318"
"2","330.35098357346","213.989323347623","544.340306921083","11.3261763992784","1446.37313684058","165.711195450803","18.1322174219958","539.517871078369","-0.885922975278218","11.3039916645255","-0.0221847347528641","0.101017998192345"
"3","312.562030732573","202.37397034289","514.936001075463","16.1161803664735","1327.12722448189","157.726634321573","24.88178859256","511.299892286923","-0.706128291854807","15.9429892144932","-0.173191151980314","0.0911420721719799"
"5","282.710524067142","182.722123344017","465.432647411159","24.1803483045443","1141.70954918538","145.300701516283","35.3768216795624","463.89317097588","-0.330762451633347","23.7365900829083","-0.443758221636038","0.0756353048852756"
