Case,Tout_final_degC,Q_last_day_W,Eta_Q_last_day,Rgap_factor_final
Fixed gap,24.3729636209449,693.033880602633,0.832979961945505,1
Variable gap,24.4407517158392,689.433797522427,0.830408350609942,1.08195708697703
